timestamp,latitude,longitude,event_type,severity,speed_kmh
2023-01-01 00:02:20,37.79507143064099,-122.35360121163772,JAM,1,33.11989040672405
2023-01-01 00:02:38,37.786617614577494,-122.37977699765136,ACCIDENT,1,49.39819704323989
2023-01-01 00:11:34,37.72123391106783,-122.46363500655858,JAM,1,40.49512863264476
2023-01-01 00:14:24,37.729122914019804,-122.37762942105552,JAM,1,37.327236865873836
2023-01-01 00:17:27,37.7785175961393,-122.46006524356832,JAM,2,15.696756190799967
2023-01-01 00:22:07,37.71705241236873,-122.48698968140295,ROAD_CLOSED,4,2.8164410892276965
2023-01-01 00:24:33,37.701596625222024,-122.45382123487558,JAM,2,24.149949866739313
2023-01-01 00:33:30,37.717336465350776,-122.42178787848535,JAM,3,9.251558744912447
2023-01-01 00:34:40,37.756770032782,-122.49373734150889,ACCIDENT,3,8.951502360018145
2023-01-01 00:47:44,37.77272719958564,-122.43469184623883,JAM,2,29.417580365240237
2023-01-01 00:57:03,37.77473201101374,-122.39206157352218,JAM,4,3.0351712384334233
2023-01-01 00:58:39,37.72962735057041,-122.4669466121874,JAM,2,20.923222772633544
2023-01-01 01:00:24,37.70140798227151,-122.46023151918224,ACCIDENT,4,3.029799873905057
2023-01-01 01:13:26,37.765107702550196,-122.31700806489124,WEATHERHAZARD,4,1.654490124263246
2023-01-01 01:13:46,37.73109823217157,-122.43496333559465,ACCIDENT,3,13.872127425763265
2023-01-01 01:16:57,37.711959424593836,-122.3573510425554,ACCIDENT,3,12.70967179954561
2023-01-01 01:20:22,37.7522732829382,-122.41449179632829,JAM,1,30.628583713734685
2023-01-01 01:25:25,37.73143559810763,-122.39828586176706,ROAD_CLOSED,3,11.044173792778173
2023-01-01 01:29:18,37.72030612247348,-122.3114292858884,JAM,2,28.207017585228865
2023-01-01 01:34:12,37.729563368583776,-122.47890114803394,JAM,1,38.330198957407326
2023-01-01 01:44:56,37.73243450210053,-122.47558240905987,JAM,4,1.3606612469231765
2023-01-01 01:50:09,37.700052037699535,-122.42948622873317,JAM,1,40.68178838750884
2023-01-01 01:53:28,37.76924360328903,-122.4461175332403,JAM,1,34.375284391461406
2023-01-01 01:57:33,37.740383617105806,-122.4870215505782,JAM,1,43.92608545679577
2023-01-01 02:03:47,37.71480869299534,-122.3004519029902,JAM,4,2.0551850665911564
2023-01-01 02:03:57,37.73450712480267,-122.37312973105972,JAM,2,21.716747468596374
2023-01-01 02:07:58,37.75926967238794,-122.48382933473346,JAM,1,46.062795127597916
2023-01-01 02:11:09,37.79834231408948,-122.42023511151109,ACCIDENT,4,0.7535877198271473
2023-01-01 02:14:42,37.769581280679084,-122.32832823903725,JAM,1,44.22299064876036
2023-01-01 02:22:59,37.73486659872918,-122.48076468978172,ROAD_CLOSED,4,1.933676731502687
2023-01-01 02:36:47,37.7137520944146,-122.43178672978995,JAM,4,4.386696766904905
2023-01-01 02:38:17,37.765998404603415,-122.33655555995975,JAM,2,18.627784363506777
2023-01-01 02:38:46,37.78972157579533,-122.31991638856734,JAM,1,36.98419149225322
2023-01-01 02:45:15,37.78971102599525,-122.32258271514698,ACCIDENT,3,5.841399649950488
2023-01-01 02:46:08,37.7898554188527,-122.37871418806807,JAM,1,43.27003538216111
2023-01-01 02:46:09,37.71608080514175,-122.39025324212668,JAM,2,18.3640396419084
2023-01-01 02:52:23,37.72372490874968,-122.43492006036814,ACCIDENT,3,13.49223410494178
2023-01-01 02:57:44,37.756830860333544,-122.48126504643439,JAM,1,34.87979286758167
2023-01-01 03:15:48,37.739309772466676,-122.32159068896458,JAM,3,10.026370931051922
2023-01-01 03:20:06,37.749251769381885,-122.46095140244039,ACCIDENT,2,15.364739496471808
2023-01-01 03:25:17,37.717711067940705,-122.31190828312941,ROAD_CLOSED,1,47.66988044532518
2023-01-01 03:32:10,37.795307184702395,-122.4338499390659,JAM,2,29.704973755740685
2023-01-01 03:32:34,37.73056970192872,-122.46181779376992,JAM,2,20.59030300641074
